SIMRUN,TIMEINT,QUEUECOUNTER,QLEN,QLENMAX,QSTOPS
2,1800-1860,3,18.35,40.69,7
2,1800-1860,4,0.02,4.57,1
2,1800-1860,5,12.02,49.83,8
2,1800-1860,6,1.13,16.57,2
2,1800-1860,7,21.96,47.67,12
2,1860-1920,1,24.79,67.77,11
2,1860-1920,2,108.2,159.75,20
2,1860-1920,3,15.21,39.82,8
2,1860-1920,4,2.44,10.35,2
2,1860-1920,5,13.82,46.96,9
2,1860-1920,6,7.94,29.49,5
2,1860-1920,7,29.23,75.7,12
2,1920-1980,1,23.8,72.6,11
2,1920-1980,2,59.31,88.72,13
2,1920-1980,3,34.62,83.69,17
2,1920-1980,4,2.84,18.08,3
2,1920-1980,5,113.12,138.17,12
2,1920-1980,6,23.73,44.16,9
2,1920-1980,7,25.8,74.82,11
2,1980-2040,1,23.94,85.24,6
2,1980-2040,2,48.81,84.2,15
2,1980-2040,3,130.19,147.67,24
2,1980-2040,4,7.52,31.37,6
2,1980-2040,5,47.83,137.87,13
2,1980-2040,6,59.06,77.52,15
2,1980-2040,7,21.63,49.66,11
2,2040-2100,1,24.58,47.16,10
2,2040-2100,2,60.79,78.67,14
2,2040-2100,3,28.77,68.46,15
2,2040-2100,4,4.59,22.72,2
2,2040-2100,5,9.54,24.64,3
2,2040-2100,6,70.45,104.45,13
2,2040-2100,7,20.03,48.77,9
2,2100-2160,1,20.89,42.51,9
2,2100-2160,2,42.61,71.81,9
2,2100-2160,3,28.07,76.58,18
2,2100-2160,4,2.16,25.35,4
2,2100-2160,5,27.83,68.09,11
2,2100-2160,6,69.62,94.39,15
2,2100-2160,7,24.58,58.98,13
2,2160-2220,1,9.8,18.61,3
2,2160-2220,2,25.9,45.84,7
2,2160-2220,3,18.69,79,16
2,2160-2220,4,0.01,4.53,1
2,2160-2220,5,34.59,62.14,10
2,2160-2220,6,39.29,66.92,6
2,2160-2220,7,45.8,70.65,18
2,2220-2280,1,7.66,22.72,7
2,2220-2280,2,23.43,45.52,7
2,2220-2280,3,53.84,117.77,19
2,2220-2280,4,2.91,18.28,3
2,2220-2280,5,22.54,56.23,6
2,2220-2280,6,21.91,44.7,5
2,2220-2280,7,23.57,51.39,9
2,2280-2340,1,10.49,49.87,11
2,2280-2340,2,24.73,36.67,7
2,2280-2340,3,22.98,65.96,14
2,2280-2340,4,0.02,5,1
2,2280-2340,5,50.38,138.44,19
2,2280-2340,6,7.6,19.41,4
2,2280-2340,7,11.65,40.5,5
2,2340-2400,1,2.13,12.93,3
2,2340-2400,2,26.43,41.95,8
2,2340-2400,3,26.05,70.83,14
2,2340-2400,4,3.54,16.65,3
2,2340-2400,5,54.22,139.44,12
2,2340-2400,6,14.35,39.17,9
2,2340-2400,7,13.67,43.27,13
2,2400-2460,1,12.59,25.23,6
2,2400-2460,2,18.96,30.33,6
2,2400-2460,3,47.18,102.6,19
2,2400-2460,4,2.93,10.56,2
2,2400-2460,5,18.34,36.61,5
2,2400-2460,6,37.93,78.33,19
2,2400-2460,7,20.85,49.62,4
2,2460-2520,1,8.33,43.35,4
2,2460-2520,2,44.11,91.35,14
2,2460-2520,3,34.41,86.59,9
2,2460-2520,4,0.04,4.84,1
2,2460-2520,5,25.59,51.09,6
2,2460-2520,6,64.93,101.67,11
2,2460-2520,7,18.88,56.46,16
2,2520-2580,1,11.2,32.66,8
2,2520-2580,2,60.17,77.02,14
2,2520-2580,3,24.72,49.08,8
2,2520-2580,4,2.65,10.74,2
2,2520-2580,5,11.2,37.43,6
2,2520-2580,6,64.77,94.91,15
2,2520-2580,7,51.52,92.49,22
2,2580-2640,1,13.54,45.43,7
2,2580-2640,2,37.51,52.55,9
2,2580-2640,3,34.71,97.83,12
2,2580-2640,4,2.97,18.29,3
2,2580-2640,5,23.04,50.47,7
2,2580-2640,6,48.83,70.58,8
2,2580-2640,7,32.82,51.68,6
2,2640-2700,1,22.12,51.19,15
2,2640-2700,2,18.29,32.98,5
2,2640-2700,3,40.82,114.08,20
2,2640-2700,4,0.04,4.8,1
2,2640-2700,5,28.91,69.63,11
2,2640-2700,6,23.88,40.74,3
2,2640-2700,7,36.16,62.73,12
2,2700-2760,1,26.97,44.31,11
2,2700-2760,2,26.03,50.5,6
2,2700-2760,3,12.38,46.56,9
2,2700-2760,4,1.46,10.57,2
2,2700-2760,5,37.6,108.85,13
2,2700-2760,6,25.48,48.95,8
2,2700-2760,7,26.2,43.28,13
2,2760-2820,1,28.65,43.93,7
2,2760-2820,2,16.63,46.23,10
2,2760-2820,3,36.9,69.7,20
2,2760-2820,4,2.23,10.72,2
2,2760-2820,5,14.94,62.17,6
2,2760-2820,6,0.06,5.06,1
2,2760-2820,7,22.75,44.76,6
2,2820-2880,1,14.3,37.38,5
2,2820-2880,2,18.61,31.09,5
2,2820-2880,3,19.6,58.1,10
2,2820-2880,4,0,0,0
2,2820-2880,5,7.67,30.43,6
2,2820-2880,6,3.73,11.37,2
2,2820-2880,7,10.74,25.37,5
2,2880-2940,1,4.35,13.04,3
2,2880-2940,2,5.75,18.47,3
2,2880-2940,3,8.84,26.2,4
2,2880-2940,4,0,0,0
2,2880-2940,5,7.15,36.82,4
2,2880-2940,6,14.47,31.96,7
2,2880-2940,7,26.87,51.71,12
2,2940-3000,1,7.37,26.76,5
2,2940-3000,2,7.58,23.54,3
2,2940-3000,3,17.98,50.25,14
2,2940-3000,4,2.72,17.94,2
2,2940-3000,5,5.32,30.7,5
2,2940-3000,6,3.01,30.04,3
2,2940-3000,7,33.34,55.75,14
2,3000-3060,1,13.21,46.33,5
2,3000-3060,2,13.55,29.66,6
2,3000-3060,3,18.82,56.96,11
2,3000-3060,4,0.01,4.81,1
2,3000-3060,5,2.46,12.03,2
2,3000-3060,6,7.25,19.09,3
2,3000-3060,7,15.87,30.88,8
2,3060-3120,1,24.28,63.5,11
2,3060-3120,2,22.8,62.36,12
2,3060-3120,3,17.98,71.48,11
2,3060-3120,4,0,0,0
2,3060-3120,5,11.99,34.94,5
2,3060-3120,6,29.88,68.18,9
2,3060-3120,7,22.97,44.57,10
2,3120-3180,1,14.79,44,12
2,3120-3180,2,27,50.79,8
2,3120-3180,3,49.65,83.38,16
2,3120-3180,4,2.24,26.9,4
2,3120-3180,5,19.74,63.41,9
2,3120-3180,6,47.65,80.81,11
2,3120-3180,7,28.87,50.65,12
2,3180-3240,1,6.74,30.55,4
2,3180-3240,2,7.57,11.34,2
2,3180-3240,3,35.79,80.67,16
2,3180-3240,4,0.03,5.27,1
